Finger Type,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
Finger_Small_1,217.29,-10.87606393,2.739512156,13.52170143,22.93186586,33.34327808,42.59
Finger_Small_1,219.85,-10.84407814,2.811552489,13.64853607,23.10974551,33.61123498,42.91
Finger_Small_1,222.41,-10.80742145,2.889666439,13.78408139,23.29930605,33.89675436,43.21
Finger_Small_1,224.96,-10.75974398,2.984023356,13.94550714,23.52430814,34.23524509,43.53
Finger_Small_1,227.52,-10.7118074,3.077112365,14.10304315,23.74345302,34.56544354,43.91
Finger_Small_1,230.08,-10.68824434,3.130446316,14.19199945,23.86748318,34.75432909,44.28
Finger_Small_1,232.63,-10.72220629,3.092266036,14.12589587,23.77713122,34.62385995,44.49
Finger_Small_1,235.19,-10.73257097,3.090223957,14.11973234,23.76947482,34.61637616,44.34
Finger_Small_1,237.74,-10.69077823,3.170569555,14.25079993,23.95151893,34.89162535,44.33
Finger_Small_1,240.3,-10.6690928,3.218157751,14.3257953,24.05595515,35.05127776,44.64
Finger_Small_1,242.86,-10.63510637,3.284385515,14.43080676,24.20177479,35.27281519,44.82
Finger_Small_1,245.41,-10.58680694,3.372178736,14.57035612,24.39512219,35.56564858,45.07
Finger_Small_1,247.97,-10.64004135,3.30066372,14.44526977,24.22369076,35.31283393,45.4
Finger_Small_1,250.53,-10.56753504,3.425742555,14.64469955,24.49981373,35.72965895,45.12
Finger_Small_1,253.08,-10.61392183,3.364244051,14.53590581,24.35116713,35.51053123,45.59
Finger_Small_1,255.64,-10.560924,3.458304681,14.68248608,24.55475124,35.81900367,45.35
Finger_Small_1,258.2,-10.62875947,3.361827829,14.51657175,24.327579,35.48185161,45.7
Finger_Small_1,260.75,-10.61963456,3.386667132,14.54937324,24.37478334,35.55583384,45.33
Finger_Small_1,263.31,-10.57031997,3.475195286,14.68555474,24.56495701,35.84431941,45.42
Finger_Small_1,265.86,-10.5765884,3.475672542,14.67828339,24.55750044,35.83636123,45.75
Finger_Small_1,268.42,-10.60160208,3.44622375,14.6229056,24.48394533,35.72910602,45.75
Finger_Small_1,270.98,-10.60848764,3.445606355,14.61459987,24.47573284,35.71988579,45.64
Finger_Small_1,273.53,-10.57733399,3.506228166,14.70495999,24.60432443,35.91621437,45.64
Finger_Small_1,276.09,-10.53086638,3.591168938,14.8337621,24.78638819,36.19322245,45.87
Finger_Small_1,278.65,-10.50157733,3.648882234,14.91874072,24.90839871,36.38015471,46.19
Finger_Small_1,281.2,-10.47796597,3.698010534,14.98999153,25.01203812,36.53963212,46.41
Finger_Small_1,283.76,-10.52183838,3.641636371,14.89555559,24.88783424,36.35576418,46.6
Finger_Small_1,286.32,-10.49485544,3.697392082,14.97823385,25.00854632,36.54109103,46.41
Finger_Small_1,288.87,-10.55799539,3.611093466,14.8393981,24.82410733,36.2663387,46.63
Finger_Small_1,291.43,-10.48236619,3.745600603,15.04575957,25.11714023,36.71188169,46.34
Finger_Small_1,293.98,-10.47607625,3.771014415,15.08254587,25.17678159,36.80554288,46.85
Finger_Small_1,296.54,-10.4944078,3.758681525,15.06213649,25.15831515,36.78128101,46.97
Finger_Small_1,299.1,-10.88725154,3.123858082,14.07913831,23.80148203,34.74030481,46.96
Finger_Small_1,301.65,-10.8908024,3.137137188,14.10516008,23.84851497,34.81412159,44.69
Finger_Small_1,304.21,-10.82087559,3.279334401,14.33201763,24.17749227,35.31230146,44.79
Finger_Small_1,306.77,-10.83847807,3.27120238,14.32663412,24.18259077,35.32346948,45.37
Finger_Small_1,309.32,-10.7687984,3.413196918,14.55210234,24.51128251,35.82271029,45.4
Finger_Small_1,311.88,-10.80190159,3.38249362,14.51485975,24.47422491,35.77066178,45.98
Finger_Small_1,314.44,-10.84019007,3.344417046,14.46846643,24.42530499,35.70079445,45.94
Finger_Small_1,316.99,-10.82476161,3.399300492,14.56402493,24.57608176,35.93265923,45.88
Finger_Small_1,319.55,-10.88100894,3.33469204,14.48194437,24.47959682,35.79118733,46.16
Finger_Small_1,322.11,-10.87661112,3.374855318,14.55836521,24.60614829,35.98694724,46.02
