Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS30DS30_0_2vsDS10DS30_6_1,306,-10.44693047,4.785248012,16.52028309,25.60166415,37.63377784,46.75335609
DS30DS30_0_2vsDS10DS30_6_1,314.5,-10.40873328,4.778658998,16.55848028,25.70670641,37.77701729,46.86794764
DS30DS30_0_2vsDS10DS30_6_1,323,-10.40873328,4.824973086,16.62532536,25.83084726,37.91070744,47.13532794
DS30DS30_0_2vsDS10DS30_6_1,331.5,-10.3609868,4.876825766,16.7781141,25.98363601,38.12079197,47.28811669
DS30DS30_0_2vsDS10DS30_6_1,340,-10.3609868,4.924572249,16.7781141,26.03138249,38.16853845,47.28811669
DS10DS30_6_1vsDS30DS30_0_3,0,-15.69904359,-9.129127536,-6.237791515,-4.956657886,-4.146304577,-3.750199755
DS10DS30_6_1vsDS30DS30_0_3,8.5,-15.75633937,-9.129127536,-6.32067941,-4.900889993,-4.017962031,-3.139044773
DS10DS30_6_1vsDS30DS30_0_3,17,-15.71814218,-8.766254265,-5.475375676,-3.466776633,-2.036101018,0.400573893
DS10DS30_6_1vsDS30DS30_0_3,25.5,-15.01149423,-7.391155557,-3.445004236,-0.87806928,0.877580356,3.235683655
DS10DS30_6_1vsDS30DS30_0_3,34,-14.89690267,-7.009183694,-2.95378842,-0.361268988,1.620133659,3.416547333
DS10DS30_6_1vsDS30DS30_0_3,42.5,-15.04969142,-7.123775253,-2.918647009,-0.076890936,2.196147229,5.104099025
DS10DS30_6_1vsDS30DS30_0_3,51,-14.83960689,-6.340732933,-1.600080136,1.892670583,4.530377286,8.19329647
DS10DS30_6_1vsDS30DS30_0_3,59.5,-14.36214207,-5.322586931,-0.146638998,3.696150737,6.780000576,9.625690958
DS10DS30_6_1vsDS30DS30_0_3,68,-14.41943784,-5.100661278,0.227655231,4.263760925,7.620338675,11.22997279
DS10DS30_6_1vsDS30DS30_0_3,76.5,-14.45763503,-4.907765487,0.644806703,5.080225784,8.766254265,13.08253632
DS10DS30_6_1vsDS30DS30_0_3,85,-14.24755051,-4.159864579,1.836520719,6.646310423,10.73340936,15.35526891
DS10DS30_6_1vsDS30DS30_0_3,93.5,-13.84648005,-3.672468481,2.563604161,7.639437268,11.89842355,16.5011845
DS10DS30_6_1vsDS30DS30_0_3,102,-14.07566317,-3.585378896,2.807684182,8.116902098,12.75786024,17.74259305
DS10DS30_6_1vsDS30DS30_0_3,110.5,-13.90377583,-3.135416041,3.635226224,9.377409246,14.34304347,20.34000173
DS10DS30_6_1vsDS30DS30_0_3,119,-13.56000115,-2.378347807,4.785152519,10.88619811,16.06191686,22.05887511
DS10DS30_6_1vsDS30DS30_0_3,127.5,-13.52180396,-2.022922988,5.324687776,11.7456348,17.3415226,23.35757945
DS10DS30_6_1vsDS30DS30_0_3,136,-13.67459271,-1.829530634,5.723466401,12.39498697,18.31555085,24.75177675
DS10DS30_6_1vsDS30DS30_0_3,144.5,-13.38811381,-1.413893681,6.550817458,13.57909975,19.80524112,26.45155154
DS10DS30_6_1vsDS30DS30_0_3,153,-13.21622647,-0.877637652,7.41025415,14.68681815,21.5432131,28.2468193
DS10DS30_6_1vsDS30DS30_0_3,161.5,-13.21622647,-0.66615893,7.792226014,15.35526891,22.59363572,29.60281942
DS10DS30_6_1vsDS30DS30_0_3,170,-13.17802929,-0.468679476,8.231493657,16.00462108,23.51036819,30.7678336
DS10DS30_6_1vsDS30DS30_0_3,178.5,-13.1398321,-0.056531836,8.899944416,16.95955074,24.80907253,32.54400276
DS10DS30_6_1vsDS30DS30_0_3,187,-12.77695883,0.311574449,9.530197992,17.79988883,25.89769234,33.72811554
DS10DS30_6_1vsDS30DS30_0_3,195.5,-12.89155039,0.475211195,9.873972671,18.31555085,26.5661431,34.79763676
DS10DS30_6_1vsDS30DS30_0_3,204,-12.83425461,0.600918136,10.19864875,18.83121286,27.25369245,35.77166501
DS10DS30_6_1vsDS30DS30_0_3,212.5,-12.81515602,0.816044689,10.59971921,19.44236785,28.17042492,36.80298904
DS10DS30_6_1vsDS30DS30_0_3,221,-12.66236727,1.07017057,11.09628263,20.09172001,29.88929831,37.79611589
DS10DS30_6_1vsDS30DS30_0_3,229.5,-12.73876165,1.213562807,11.28726857,20.47369188,30.5004533,38.54096102
DS10DS30_6_1vsDS30DS30_0_3,238,-12.71966305,1.266351319,11.42095872,20.74107219,30.99701672,39.09482022
DS10DS30_6_1vsDS30DS30_0_3,246.5,-12.56687431,1.442287559,11.86022636,21.21853701,31.55087592,39.93515832
DS10DS30_6_1vsDS30DS30_0_3,255,-12.60507149,1.646069548,12.12760666,21.67690325,32.23842527,40.39352455
DS10DS30_6_1vsDS30DS30_0_3,263.5,-12.54777572,1.64794121,12.16580385,21.8105934,32.63949573,40.89008798
DS10DS30_6_1vsDS30DS30_0_3,272,-12.52867712,1.645878562,12.26129682,21.96338215,32.77318588,41.34845422
DS10DS30_6_1vsDS30DS30_0_3,280.5,-12.47138134,1.694809158,12.43318415,22.23076245,33.002369,41.71132748
DS10DS30_6_1vsDS30DS30_0_3,289,-12.37588838,1.815894239,12.62417009,22.47904416,33.42253805,42.18879232
DS10DS30_6_1vsDS30DS30_0_3,297.5,-12.37588838,1.88579509,12.66236727,22.61273431,33.74721413,42.4943698
DS10DS30_6_1vsDS30DS30_0_3,306,-12.41408556,1.843396213,12.68146587,22.55543853,33.63262257,42.39887684
DS10DS30_6_1vsDS30DS30_0_3,314.5,-12.45228275,1.813220436,12.66236727,22.63183291,33.70901695,42.47527122
DS10DS30_6_1vsDS30DS30_0_3,323,-12.45228275,1.854855369,12.75786024,22.76552306,33.99549584,42.85724307
DS10DS30_6_1vsDS30DS30_0_3,331.5,-12.43318416,1.853709453,12.81515602,22.80372025,34.07189022,42.95273604
DS10DS30_6_1vsDS30DS30_0_3,340,-12.43318416,1.855619313,12.81515602,22.82281884,34.07189022,42.95273604
