Finger Type,Pressure,Theta6,,Configuration,Pressure,Theta6
Finger_Small_2,58.05,16.29219182,,DS30DS30_0_2,58.4375,11.55584253
Finger_Small_2,62.19,17.42852208,,DS30DS30_0_2,62.6875,12.53345177
Finger_Small_2,66.34,18.41474386,,DS30DS30_0_2,66.9375,13.0705997
Finger_Small_2,70.49,19.65066576,,DS30DS30_0_2,71.1875,13.6936913
Finger_Small_2,74.63,20.94976479,,DS30DS30_0_2,72.25,13.86557864
Finger_Small_2,78.78,21.88712322,,DS30DS30_0_2,76.5,14.553128
Finger_Small_2,82.93,21.88156052,,DS30DS30_0_2,80.75,16.12876193
Finger_Small_2,87.07,22.31121474,,DS30DS30_0_2,85,17.70439587
Finger_Small_2,91.22,23.22664878,,DS30DS30_0_2,89.25,18.50653678
Finger_Small_2,95.36,24.22121174,,DS30DS30_0_2,93.5,19.3086777
Finger_Small_2,99.51,25.98315417,,DS30DS30_0_2,97.75,19.70974815
Finger_Small_2,103.66,29.50630686,,DS30DS30_0_2,102,20.11081861
Finger_Small_2,107.80,29.8704627,,DS30DS30_0_2,106.25,20.99890319
Finger_Small_2,111.95,31.01694277,,DS30DS30_0_2,110.5,21.88698777
Finger_Small_2,116.10,31.55065257,,DS30DS30_0_2,114.75,23.29073437
Finger_Small_2,120.24,32.01661533,,DS30DS30_0_2,119,24.69448097
Finger_Small_2,124.39,32.63128496,,DS30DS30_0_2,123.25,25.63986133
Finger_Small_2,128.54,33.70628542,,DS30DS30_0_2,127.5,26.58524169
Finger_Small_2,132.68,33.71439953,,DS30DS30_0_2,131.75,27.38738261
Finger_Small_2,136.83,34.53969127,,DS30DS30_0_2,136,28.18952352
Finger_Small_2,140.97,35.73676263,,DS30DS30_0_2,140.25,28.8197771
Finger_Small_2,145.12,37.32210561,,DS30DS30_0_2,144.5,29.45003067
Finger_Small_2,149.27,37.81074274,,DS30DS30_0_2,148.75,30.45270681
Finger_Small_2,153.41,37.81339479,,DS30DS30_0_2,153,31.45538295
Finger_Small_2,157.56,37.85670982,,DS30DS30_0_2,157.25,32.60129854
Finger_Small_2,161.71,38.17719806,,DS30DS30_0_2,161.5,33.74721413
Finger_Small_2,165.85,38.17924851,,DS30DS30_0_2,165.75,34.14828459
Finger_Small_2,170.00,38.46675849,,DS30DS30_0_2,170,34.54935505
Finger_Small_2,174.14,39.05377421,,DS30DS30_0_2,174.25,35.2369044
Finger_Small_2,178.29,38.34054249,,DS30DS30_0_2,177.96875,35.84746255
Finger_Small_2,182.44,38.32965977,,DS30DS30_0_2,181.6875,36.54754536
Finger_Small_2,186.58,38.37709882,,DS30DS30_0_2,185.9375,37.36042923
Finger_Small_2,190.73,38.30852206,,DS30DS30_0_2,190.1875,38.10169338
Finger_Small_2,194.88,37.4066675,,DS30DS30_0_2,194.4375,38.76059484
Finger_Small_2,199.02,38.67605065,,DS30DS30_0_2,198.6875,39.30490475
Finger_Small_2,203.17,37.46143155,,DS30DS30_0_2,202.9375,39.75252802
Finger_Small_2,207.32,37.17209584,,DS30DS30_0_2,207.1875,40.15717947
Finger_Small_2,211.46,37.37366899,,DS30DS30_0_2,211.4375,40.56183091
