Finger Type,Pressure,Theta6,,Configuration,Pressure,Theta6,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,329.63,57.56,,DS30DS30_0_1,329.375,55.01827228,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,331.71,57.63,,DS30DS30_0_1,331.5,55.11853989,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,333.78,57.68,,DS30DS30_0_1,333.625,55.11853989,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,335.85,57.82,,DS30DS30_0_1,335.75,55.11853989,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,337.93,57.81,,DS30DS30_0_1,337.875,55.11853989,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,340,57.8,,DS30DS30_0_1,340,55.11853989,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,0,0,,DS30DS30_0_1,0,-3.585569882,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,2.56,2.58,,DS30DS30_0_1,2.125,-3.579553825,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,5.11,3.49,,DS30DS30_0_1,5.3125,-3.57052974,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,7.67,4.78,,DS30DS30_0_1,7.4375,-3.058090612,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,10.23,6.21,,DS30DS30_0_1,10.625,-2.880258836,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,12.78,7.13,,DS30DS30_0_1,12.75,-2.199012018,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,15.34,7.26,,DS30DS30_0_1,15.9375,-1.08872724,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,17.89,8.07,,DS30DS30_0_1,17,-0.836518381,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,20.45,8.92,,DS30DS30_0_1,20.1875,0.362180946,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,23.01,8.92,,DS30DS30_0_1,23.375,1.560880273,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,25.56,9.52,,DS30DS30_0_1,25.5,2.360013158,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,28.12,10.29,,DS30DS30_0_1,28.6875,3.52626875,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,30.68,11.08,,DS30DS30_0_1,30.8125,4.303772478,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,33.23,11.96,,DS30DS30_0_1,32.9375,4.622014723,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,35.79,12.95,,DS30DS30_0_1,36.125,5.635183155,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,38.35,13.9,,DS30DS30_0_1,38.25,5.800338239,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,40.9,14.18,,DS30DS30_0_1,40.375,5.965493323,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,43.46,14.74,,DS30DS30_0_1,43.5625,6.704232876,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,46.02,15.19,,DS30DS30_0_1,46.75,7.333859778,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,48.57,15.66,,DS30DS30_0_1,48.875,7.935465463,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,51.13,16.62,,DS30DS30_0_1,51,8.537071147,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,53.68,16.62,,DS30DS30_0_1,53.125,9.568395179,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,56.24,17.07,,DS30DS30_0_1,56.3125,10.94886537,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,58.8,17.91,,DS30DS30_0_1,58.4375,11.81367354,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,61.35,18.72,,DS30DS30_0_1,61.625,13.24964901,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,63.91,19.18,,DS30DS30_0_1,63.75,13.83693075,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,66.47,19.77,,DS30DS30_0_1,66.9375,14.48150827,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,69.02,20.57,,DS30DS30_0_1,69.0625,14.95061747,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,71.58,21.21,,DS30DS30_0_1,71.1875,15.41972666,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,74.14,21.54,,DS30DS30_0_1,74.375,15.82795909,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,76.69,21.71,,DS30DS30_0_1,76.5,16.10011404,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,79.25,22.12,,DS30DS30_0_1,79.6875,17.08846624,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,81.8,23.07,,DS30DS30_0_1,81.8125,17.7473677,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,84.36,23.05,,DS30DS30_0_1,83.9375,18.40626917,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,86.92,23.9,,DS30DS30_0_1,87.125,19.39462137,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,89.47,23.99,,DS30DS30_0_1,89.25,20.05352283,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,92.03,24.63,,DS30DS30_0_1,92.4375,20.77330106,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,94.59,24.99,,DS30DS30_0_1,94.5625,21.29791554,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,97.14,25.75,,DS30DS30_0_1,97.75,21.97293144,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,99.7,26.2,,DS30DS30_0_1,99.875,22.27373429,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,102.26,27.08,,DS30DS30_0_1,102,22.57453713,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,104.81,27.61,,DS30DS30_0_1,104.125,23.09019914,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,107.37,28.4,,DS30DS30_0_1,107.3125,23.84220625,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,109.92,28.77,,DS30DS30_0_1,109.4375,24.33638235,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,112.48,29.18,,DS30DS30_0_1,112.625,25.09555143,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,115.04,29.18,,DS30DS30_0_1,114.75,25.55391766,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,117.59,29.6,,DS30DS30_0_1,117.9375,26.49929802,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,120.15,29.84,,DS30DS30_0_1,120.0625,27.08657976,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,122.71,29.98,,DS30DS30_0_1,122.1875,27.6738615,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,125.26,30.21,,DS30DS30_0_1,125.375,28.87707287,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,127.82,30.9,,DS30DS30_0_1,128.03125,29.55746026,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,130.38,31.7,,DS30DS30_0_1,130.6875,30.23784764,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,132.93,32.09,,DS30DS30_0_1,133.34375,30.70337585,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,135.49,32.56,,DS30DS30_0_1,136,31.16890406,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,138.05,32.63,,DS30DS30_0_1,138.125,31.62727029,,,,,,,,,,,,,,,,,,,,,,
Finger_Small_1,140.6,32.74,,DS30DS30_0_1,140.25,32.08563653,,,,,,,,,,,,,,,,,,,,,,
