Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
E30DS30_6_3_VS_DS10DS10_0_1,316,-7.60601473,5.474038775,14.22367726,23.03290336,30.93972094,38.61735539
E30DS30_6_3_VS_DS10DS10_0_1,320,-7.520071061,5.648790902,14.42421249,23.30505832,31.45538295,39.04707374
E30DS30_6_3_VS_DS10DS10_0_1,324,-7.434127392,5.823256551,14.69636745,23.6201851,31.74186185,39.47679208
E30DS30_6_3_VS_DS10DS10_0_1,328,-7.276563998,5.97408769,14.91122662,23.93531189,32.14293231,39.72029915
E30DS30_6_3_VS_DS10DS10_0_1,332,-7.219268219,6.137380662,15.18338157,24.23611473,32.28617176,40.16434144
E30DS30_6_3_VS_DS10DS10_0_1,336,-7.133324549,6.287352365,15.42688863,24.56556547,32.80183377,40.63703162
E30DS30_6_3_VS_DS10DS10_0_1,340,-7.090352715,6.491898298,15.6703957,24.86636831,33.33181973,41.03810208
E30DS30_6_3_VS_DS10DS10_0_1,344,-7.004409045,6.653758875,15.91390276,25.12419932,33.64694652,41.38187675
E30DS30_6_3_VS_DS10DS10_0_1,348,-6.288211802,6.848851004,16.12876193,25.51094583,33.9907212,41.89753877
E30DS30_6_3_VS_DS10DS10_0_1,352,-5.916505432,7.055545529,16.42956478,25.84039656,34.46341138,42.39887684
E30DS30_6_3_VS_DS10DS10_0_1,356,-5.855771906,7.273985688,16.70171973,26.38470647,34.90745367,42.88589097
E30DS30_6_3_VS_DS10DS10_0_1,360,-5.514432299,7.381988232,16.94522679,26.44200225,35.32284807,43.32993326
E30DS30_6_3_VS_DS10DS10_0_1,364,-5.514432299,7.554878247,17.21738174,26.81442481,35.75256642,43.67370793
E30DS30_6_3_VS_DS10DS10_0_1,368,-5.224372415,7.694250231,17.41791697,27.07225582,36.13931293,43.97451078
E30DS30_6_3_VS_DS10DS10_0_1,372,-5.06738198,7.821017143,17.63277615,27.30143894,36.66929889,44.50449674
E30DS30_6_3_VS_DS10DS10_0_1,376,-5.081705924,8.033298006,17.83331137,27.64521362,36.9271299,45.26366582
